,first,second,third,fourth,OT
0,30,31,25,31,5.0
1,22,28,26,36,
2,23,17,22,22,
3,22,24,21,28,
4,28,30,27,28,
5,36,30,29,20,
6,23,35,30,32,
7,30,23,22,29,
8,30,30,18,26,
9,15,36,22,25,
10,30,23,25,28,
11,32,21,25,32,
12,25,31,18,22,
13,32,19,17,29,
14,27,34,29,26,
15,34,15,31,16,
16,29,17,23,29,
17,23,24,12,24,
18,20,17,49,24,
19,32,26,25,25,13.0
20,34,29,31,25,
21,27,30,29,24,
22,30,21,20,21,
23,27,37,24,24,
24,31,29,23,19,
25,29,25,30,29,
26,29,35,15,20,
27,23,29,33,33,
28,17,34,35,21,
29,30,24,24,29,
30,28,27,33,30,
31,25,29,25,18,
32,22,25,29,22,
33,25,18,26,28,
34,18,24,21,21,
35,33,19,28,22,
36,15,31,23,32,
37,31,24,26,19,
38,21,22,26,36,
39,25,30,28,38,
40,26,25,25,35,
41,39,23,22,28,
42,25,35,22,35,
43,35,15,22,23,
44,28,25,26,33,
45,21,30,34,21,
46,23,33,27,31,
47,26,26,24,33,
48,20,27,22,23,
49,29,34,22,17,
50,20,43,23,32,
51,31,32,20,23,
52,36,18,34,30,
53,36,39,19,32,
54,23,29,23,26,
55,23,20,35,23,
56,12,20,23,26,
57,25,25,34,24,
58,25,27,21,26,
59,40,33,27,33,
60,39,29,18,28,
61,27,28,33,25,
62,22,28,24,39,
63,22,29,19,22,
64,21,23,26,22,
65,17,27,35,24,
66,11,24,33,31,
67,21,31,39,31,
68,25,29,17,28,
69,31,22,22,31,
70,32,30,26,33,
71,23,27,26,33,
